City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
573,Bulgan,MN,60.15,few clouds,48.8125,103.5347,Unitel Булган салбар
577,Miraflores,MX,58.03,overcast clouds,19.2167,-98.8083,Hotel Mansión
585,Matagami,CA,64.51,broken clouds,49.7502,-77.6328,Motel Le Caribou
587,Nelson Bay,AU,61.09,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
598,Lagoa,PT,68.79,clear sky,39.05,-27.9833,Casa Das Faias
601,Kuvandyk,RU,63.81,clear sky,51.4781,57.3552,Hotel Kamenka
608,Vila,PT,56.28,scattered clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
609,Erzurum,TR,65.88,clear sky,40.0,41.5,Saksi Koyu Muhtarligi
610,Ampanihy,MG,59.22,few clouds,-24.7,44.75,Angora Hotel
611,San Quintin,MX,68.29,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
615,Los Llanos De Aridane,ES,66.13,scattered clouds,28.6585,-17.9182,Valle Aridane
627,Energetik,RU,65.14,clear sky,51.7445,58.7934,Zhemchuzhina
638,Riorges,FR,61.52,overcast clouds,46.0418,4.0497,Kyriad Direct Roanne
639,Pedra,BR,61.65,scattered clouds,-8.4969,-36.9408,Pousada Oceanus
640,Yalvac,TR,60.64,clear sky,38.2956,31.1778,Yalvac Ogretmenevi
644,Sladkovo,RU,63.03,overcast clouds,55.5284,70.3385,Gostinitsa
648,Goya,AR,57.09,overcast clouds,-29.14,-59.2626,Apart Costanera Goya
650,Rusne,LT,59.0,clear sky,55.2964,21.3758,Pakalnes 45
652,Alice Springs,AU,65.75,clear sky,-23.7,133.8833,Desert Palms Alice Springs
659,Kurilsk,RU,60.33,scattered clouds,45.2333,147.8833,Hotel Ostrov
665,Apiai,BR,61.25,overcast clouds,-24.5094,-48.8425,Pousada Villa Branca
666,Zemio,CF,66.97,light rain,5.0314,25.1361,OCHA Office
667,Whitehorse,CA,63.37,broken clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
669,Burns Lake,CA,58.42,broken clouds,54.2331,-125.7533,Burns Lake Bed and Breakfast
687,Antalaha,MG,67.77,light rain,-14.9003,50.2788,Hotel Vitasoa
692,Rovaniemi,FI,56.61,light intensity shower rain,66.5,25.7167,Arctic City Hotel
705,Ahipara,NZ,55.45,few clouds,-35.1667,173.1667,Ahipara Holiday Park
707,Besancon,FR,63.14,clear sky,47.2488,6.0182,ibis Besançon Centre-Ville
